ID_PROJECT,VPD
ID_BATCH,ALPHA1
ID_WAFER,OEM-BY-PD-02
WAFER_ROTATION,90
TILE_WIDTH,10.5
TILE_HEIGHT,10.5
TEST_STRUCTURE,ALL
LINES_DATA,1628
tile_id,die_id,xc_ref[um],yc_ref[um],xc_chip[um],yc_chip[um],width[um],height[um],Array detail
DD,01A1,-10.35,10.4275,-10.35,10.4275,1.0,0.25,TS-Pads-85
DD,01B1,-9.3,10.4275,-9.3,10.4275,1.0,0.25,TS-Pads-125
DD,01C1,-8.25,10.4275,-8.25,10.4275,1.0,0.25,TS-C1
DD,01D1,-7.2,10.4275,-7.2,10.4275,1.0,0.25,TS-C3
DD,01E1,-6.15,10.4275,-6.15,10.4275,1.0,0.25,TS-C4
DD,01F1,-5.1,10.4275,-5.1,10.4275,1.0,0.25,TS-RFN
DD,02F1,-5.1,10.1775,-5.1,10.1775,1.0,0.25,TS-RFR
DD,02E1,-6.15,10.1775,-6.15,10.1775,1.0,0.25,TS-RF
DD,02D1,-7.2,10.1775,-7.2,10.1775,1.0,0.25,TS-L4
DD,02C1,-8.25,10.1775,-8.25,10.1775,1.0,0.25,TS-L3
DD,02B1,-9.3,10.1775,-9.3,10.1775,1.0,0.25,TS-L2
DD,02A1,-10.35,10.1775,-10.35,10.1775,1.0,0.25,TS-L1
DD,03A1,-10.35,9.9275,-10.35,9.9275,1.0,0.25,
DD,03B1,-9.3,9.9275,-9.3,9.9275,1.0,0.25,
DD,03C1,-8.25,9.9275,-8.25,9.9275,1.0,0.25,#12
DD,03D1,-7.2,9.9275,-7.2,9.9275,1.0,0.25,#12
DD,03E1,-6.15,9.9275,-6.15,9.9275,1.0,0.25,TS-GroupD [D1 D2 D3 D4]
DD,03F1,-5.1,9.9275,-5.1,9.9275,1.0,0.25,TS-GroupD [D1 D2 D3 D4]
DD,03G1,-4.05,9.9275,-4.05,9.9275,1.0,0.25,TS-GroupR [R1 R2 R3 R4]
DD,03H1,-3.0,9.9275,-3.0,9.9275,1.0,0.25,TS-GroupR [R1 R2 R3 R4]
DD,03I1,-1.95,9.9275,-1.95,9.9275,1.0,0.25,TS-GroupM [M1 M2 M3 M4]
DD,03J1,-0.9,9.9275,-0.9,9.9275,1.0,0.25,TS-GroupM [M1 M2 M3 M4]
DD,04J1,-0.9,9.6775,-0.9,9.6775,1.0,0.25,TS-GroupM [M5 M6 M7 M8]
DD,04I1,-1.95,9.6775,-1.95,9.6775,1.0,0.25,TS-GroupM [M5 M6 M7 M8]
DD,04H1,-3.0,9.6775,-3.0,9.6775,1.0,0.25,TS-GroupR [R5 R6 R7 R8]
DD,04G1,-4.05,9.6775,-4.05,9.6775,1.0,0.25,TS-GroupR [R5 R6 R7 R8]
DD,04F1,-5.1,9.6775,-5.1,9.6775,1.0,0.25,TS-GroupD [D5 D6 D7 D8]
DD,04E1,-6.15,9.6775,-6.15,9.6775,1.0,0.25,TS-GroupD [D5 D6 D7 D8]
DD,04D1,-7.2,9.6775,-7.2,9.6775,1.0,0.25,D01
DD,04C1,-8.25,9.6775,-8.25,9.6775,1.0,0.25,D01
DD,04B1,-9.3,9.6775,-9.3,9.6775,1.0,0.25,D01
DD,04A1,-10.35,9.6775,-10.35,9.6775,1.0,0.25,D01
DD,05A1,-10.35,9.4275,-10.35,9.4275,1.0,0.25,D01
DD,05B1,-9.3,9.4275,-9.3,9.4275,1.0,0.25,D01
DD,05C1,-8.25,9.4275,-8.25,9.4275,1.0,0.25,D01
DD,05D1,-7.2,9.4275,-7.2,9.4275,1.0,0.25,D01
DD,05E1,-6.15,9.4275,-6.15,9.4275,1.0,0.25,D02
DD,05F1,-5.1,9.4275,-5.1,9.4275,1.0,0.25,D02
DD,05G1,-4.05,9.4275,-4.05,9.4275,1.0,0.25,D02
DD,05H1,-3.0,9.4275,-3.0,9.4275,1.0,0.25,D02
DD,05I1,-1.95,9.4275,-1.95,9.4275,1.0,0.25,D02
DD,05J1,-0.9,9.4275,-0.9,9.4275,1.0,0.25,D02
DD,06J1,-0.9,9.1775,-0.9,9.1775,1.0,0.25,D02
DD,06I1,-1.95,9.1775,-1.95,9.1775,1.0,0.25,D02
DD,06H1,-3.0,9.1775,-3.0,9.1775,1.0,0.25,D02
DD,06G1,-4.05,9.1775,-4.05,9.1775,1.0,0.25,D02
DD,06F1,-5.1,9.1775,-5.1,9.1775,1.0,0.25,D02
DD,06E1,-6.15,9.1775,-6.15,9.1775,1.0,0.25,D02
DD,06D1,-7.2,9.1775,-7.2,9.1775,1.0,0.25,D01
DD,06C1,-8.25,9.1775,-8.25,9.1775,1.0,0.25,D01
DD,06B1,-9.3,9.1775,-9.3,9.1775,1.0,0.25,D01
DD,06A1,-10.35,9.1775,-10.35,9.1775,1.0,0.25,D01
DD,07A1,-10.35,8.9275,-10.35,8.9275,1.0,0.25,D01
DD,07B1,-9.3,8.9275,-9.3,8.9275,1.0,0.25,D01
DD,07C1,-8.25,8.9275,-8.25,8.9275,1.0,0.25,D01
DD,07D1,-7.2,8.9275,-7.2,8.9275,1.0,0.25,D01
DD,07E1,-6.15,8.9275,-6.15,8.9275,1.0,0.25,D02
DD,07F1,-5.1,8.9275,-5.1,8.9275,1.0,0.25,D02
DD,07G1,-4.05,8.9275,-4.05,8.9275,1.0,0.25,D02
DD,07H1,-3.0,8.9275,-3.0,8.9275,1.0,0.25,D02
DD,07I1,-1.95,8.9275,-1.95,8.9275,1.0,0.25,D02
DD,07J1,-0.9,8.9275,-0.9,8.9275,1.0,0.25,D02
DD,08J1,-0.9,8.6775,-0.9,8.6775,1.0,0.25,D02
DD,08I1,-1.95,8.6775,-1.95,8.6775,1.0,0.25,D02
DD,08H1,-3.0,8.6775,-3.0,8.6775,1.0,0.25,D02
DD,08G1,-4.05,8.6775,-4.05,8.6775,1.0,0.25,D02
DD,08F1,-5.1,8.6775,-5.1,8.6775,1.0,0.25,D02
DD,08E1,-6.15,8.6775,-6.15,8.6775,1.0,0.25,D02
DD,08D1,-7.2,8.6775,-7.2,8.6775,1.0,0.25,D01
DD,08C1,-8.25,8.6775,-8.25,8.6775,1.0,0.25,D01
DD,08B1,-9.3,8.6775,-9.3,8.6775,1.0,0.25,D01
DD,08A1,-10.35,8.6775,-10.35,8.6775,1.0,0.25,D01
DD,09A1,-10.35,8.4275,-10.35,8.4275,1.0,0.25,D01
DD,09B1,-9.3,8.4275,-9.3,8.4275,1.0,0.25,D01
DD,09C1,-8.25,8.4275,-8.25,8.4275,1.0,0.25,D01
DD,09D1,-7.2,8.4275,-7.2,8.4275,1.0,0.25,D01
DD,09E1,-6.15,8.4275,-6.15,8.4275,1.0,0.25,D02
DD,09F1,-5.1,8.4275,-5.1,8.4275,1.0,0.25,D02
DD,09G1,-4.05,8.4275,-4.05,8.4275,1.0,0.25,D02
DD,09H1,-3.0,8.4275,-3.0,8.4275,1.0,0.25,D02
DD,09I1,-1.95,8.4275,-1.95,8.4275,1.0,0.25,D02
DD,09J1,-0.9,8.4275,-0.9,8.4275,1.0,0.25,D02
DD,10J1,-0.9,8.1775,-0.9,8.1775,1.0,0.25,D02
DD,10I1,-1.95,8.1775,-1.95,8.1775,1.0,0.25,D02
DD,10H1,-3.0,8.1775,-3.0,8.1775,1.0,0.25,D02
DD,10G1,-4.05,8.1775,-4.05,8.1775,1.0,0.25,D02
DD,10F1,-5.1,8.1775,-5.1,8.1775,1.0,0.25,D02
DD,10E1,-6.15,8.1775,-6.15,8.1775,1.0,0.25,D02
DD,10D1,-7.2,8.1775,-7.2,8.1775,1.0,0.25,D01
DD,10C1,-8.25,8.1775,-8.25,8.1775,1.0,0.25,D01
DD,10B1,-9.3,8.1775,-9.3,8.1775,1.0,0.25,D01
DD,10A1,-10.35,8.1775,-10.35,8.1775,1.0,0.25,D01
DD,11A1,-10.35,7.9275,-10.35,7.9275,1.0,0.25,D01
DD,11B1,-9.3,7.9275,-9.3,7.9275,1.0,0.25,D01
DD,11C1,-8.25,7.9275,-8.25,7.9275,1.0,0.25,D01
DD,11D1,-7.2,7.9275,-7.2,7.9275,1.0,0.25,D01
DD,11E1,-6.15,7.9275,-6.15,7.9275,1.0,0.25,D01
DD,11F1,-5.1,7.9275,-5.1,7.9275,1.0,0.25,D01
DD,11G1,-4.05,7.9275,-4.05,7.9275,1.0,0.25,D01
DD,11H1,-3.0,7.9275,-3.0,7.9275,1.0,0.25,D01
DD,11I1,-1.95,7.9275,-1.95,7.9275,1.0,0.25,D01
DD,11J1,-0.9,7.9275,-0.9,7.9275,1.0,0.25,D01
DD,12J1,-0.9,7.6775,-0.9,7.6775,1.0,0.25,D01
DD,12I1,-1.95,7.6775,-1.95,7.6775,1.0,0.25,D01
DD,12H1,-3.0,7.6775,-3.0,7.6775,1.0,0.25,D01
DD,12G1,-4.05,7.6775,-4.05,7.6775,1.0,0.25,D01
DD,12F1,-5.1,7.6775,-5.1,7.6775,1.0,0.25,D01
DD,12E1,-6.15,7.6775,-6.15,7.6775,1.0,0.25,D01
DD,12D1,-7.2,7.6775,-7.2,7.6775,1.0,0.25,D01
DD,12C1,-8.25,7.6775,-8.25,7.6775,1.0,0.25,D01
DD,12B1,-9.3,7.6775,-9.3,7.6775,1.0,0.25,D01
DD,12A1,-10.35,7.6775,-10.35,7.6775,1.0,0.25,D01
DD,13A1,-10.35,7.4275,-10.35,7.4275,1.0,0.25,D01
DD,13B1,-9.3,7.4275,-9.3,7.4275,1.0,0.25,D01
DD,13C1,-8.25,7.4275,-8.25,7.4275,1.0,0.25,D01
DD,13D1,-7.2,7.4275,-7.2,7.4275,1.0,0.25,D01
DD,13E1,-6.15,7.4275,-6.15,7.4275,1.0,0.25,D01
DD,13F1,-5.1,7.4275,-5.1,7.4275,1.0,0.25,D01
DD,13G1,-4.05,7.4275,-4.05,7.4275,1.0,0.25,D01
DD,13H1,-3.0,7.4275,-3.0,7.4275,1.0,0.25,D01
DD,13I1,-1.95,7.4275,-1.95,7.4275,1.0,0.25,D01
DD,13J1,-0.9,7.4275,-0.9,7.4275,1.0,0.25,D01
DD,14J1,-0.9,7.1775,-0.9,7.1775,1.0,0.25,D01
DD,14I1,-1.95,7.1775,-1.95,7.1775,1.0,0.25,D01
DD,14H1,-3.0,7.1775,-3.0,7.1775,1.0,0.25,D01
DD,14G1,-4.05,7.1775,-4.05,7.1775,1.0,0.25,D01
DD,14F1,-5.1,7.1775,-5.1,7.1775,1.0,0.25,D01
DD,14E1,-6.15,7.1775,-6.15,7.1775,1.0,0.25,D01
DD,14D1,-7.2,7.1775,-7.2,7.1775,1.0,0.25,D01
DD,14C1,-8.25,7.1775,-8.25,7.1775,1.0,0.25,D01
DD,14B1,-9.3,7.1775,-9.3,7.1775,1.0,0.25,D01
DD,14A1,-10.35,7.1775,-10.35,7.1775,1.0,0.25,D01
DD,15A1,-10.35,6.9275,-10.35,6.9275,1.0,0.25,D01
DD,15B1,-9.3,6.9275,-9.3,6.9275,1.0,0.25,D01
DD,15C1,-8.25,6.9275,-8.25,6.9275,1.0,0.25,D01
DD,15D1,-7.2,6.9275,-7.2,6.9275,1.0,0.25,D01
DD,15E1,-6.15,6.9275,-6.15,6.9275,1.0,0.25,D01
DD,15F1,-5.1,6.9275,-5.1,6.9275,1.0,0.25,D01
DD,15G1,-4.05,6.9275,-4.05,6.9275,1.0,0.25,D01
DD,15H1,-3.0,6.9275,-3.0,6.9275,1.0,0.25,D01
DD,15I1,-1.95,6.9275,-1.95,6.9275,1.0,0.25,D01
DD,15J1,-0.9,6.9275,-0.9,6.9275,1.0,0.25,D01
DD,16J1,-0.9,6.6775,-0.9,6.6775,1.0,0.25,D01
DD,16I1,-1.95,6.6775,-1.95,6.6775,1.0,0.25,D01
DD,16H1,-3.0,6.6775,-3.0,6.6775,1.0,0.25,D01
DD,16G1,-4.05,6.6775,-4.05,6.6775,1.0,0.25,D01
DD,16F1,-5.1,6.6775,-5.1,6.6775,1.0,0.25,D01
DD,16E1,-6.15,6.6775,-6.15,6.6775,1.0,0.25,D01
DD,16D1,-7.2,6.6775,-7.2,6.6775,1.0,0.25,D01
DD,16C1,-8.25,6.6775,-8.25,6.6775,1.0,0.25,D01
DD,16B1,-9.3,6.6775,-9.3,6.6775,1.0,0.25,D01
DD,16A1,-10.35,6.6775,-10.35,6.6775,1.0,0.25,D01
DD,17A1,-10.35,6.4275,-10.35,6.4275,1.0,0.25,D01
DD,17B1,-9.3,6.4275,-9.3,6.4275,1.0,0.25,D01
DD,17C1,-8.25,6.4275,-8.25,6.4275,1.0,0.25,D01
DD,17D1,-7.2,6.4275,-7.2,6.4275,1.0,0.25,D01
DD,17E1,-6.15,6.4275,-6.15,6.4275,1.0,0.25,TS-GroupD [D1 D2 D3 D4]
DD,17F1,-5.1,6.4275,-5.1,6.4275,1.0,0.25,TS-GroupD [D1 D2 D3 D4]
DD,17G1,-4.05,6.4275,-4.05,6.4275,1.0,0.25,TS-GroupR [R1 R2 R3 R4]
DD,17H1,-3.0,6.4275,-3.0,6.4275,1.0,0.25,TS-GroupR [R1 R2 R3 R4]
DD,17I1,-1.95,6.4275,-1.95,6.4275,1.0,0.25,TS-GroupM [M1 M2 M3 M4]
DD,17J1,-0.9,6.4275,-0.9,6.4275,1.0,0.25,TS-GroupM [M1 M2 M3 M4]
DD,18J1,-0.9,6.1775,-0.9,6.1775,1.0,0.25,TS-GroupM [M5 M6 M7 M8]
DD,18I1,-1.95,6.1775,-1.95,6.1775,1.0,0.25,TS-GroupM [M5 M6 M7 M8]
DD,18H1,-3.0,6.1775,-3.0,6.1775,1.0,0.25,TS-GroupR [R5 R6 R7 R8]
DD,18G1,-4.05,6.1775,-4.05,6.1775,1.0,0.25,TS-GroupR [R5 R6 R7 R8]
DD,18F1,-5.1,6.1775,-5.1,6.1775,1.0,0.25,TS-GroupD [D5 D6 D7 D8]
DD,18E1,-6.15,6.1775,-6.15,6.1775,1.0,0.25,TS-GroupD [D5 D6 D7 D8]
DD,18D1,-7.2,6.1775,-7.2,6.1775,1.0,0.25,D01
DD,18C1,-8.25,6.1775,-8.25,6.1775,1.0,0.25,D01
DD,18B1,-9.3,6.1775,-9.3,6.1775,1.0,0.25,D01
DD,18A1,-10.35,6.1775,-10.35,6.1775,1.0,0.25,D01
DD,19A1,-10.35,5.9275,-10.35,5.9275,1.0,0.25,D01
DD,19B1,-9.3,5.9275,-9.3,5.9275,1.0,0.25,D01
DD,19C1,-8.25,5.9275,-8.25,5.9275,1.0,0.25,D01
DD,19D1,-7.2,5.9275,-7.2,5.9275,1.0,0.25,D01
DD,19E1,-6.15,5.9275,-6.15,5.9275,1.0,0.25,D01
DD,19F1,-5.1,5.9275,-5.1,5.9275,1.0,0.25,D01
DD,19G1,-4.05,5.9275,-4.05,5.9275,1.0,0.25,D01
DD,19H1,-3.0,5.9275,-3.0,5.9275,1.0,0.25,D01
DD,19I1,-1.95,5.9275,-1.95,5.9275,1.0,0.25,D01
DD,19J1,-0.9,5.9275,-0.9,5.9275,1.0,0.25,D01
DD,20J1,-0.9,5.6775,-0.9,5.6775,1.0,0.25,D01
DD,20I1,-1.95,5.6775,-1.95,5.6775,1.0,0.25,D01
DD,20H1,-3.0,5.6775,-3.0,5.6775,1.0,0.25,D01
DD,20G1,-4.05,5.6775,-4.05,5.6775,1.0,0.25,D01
DD,20F1,-5.1,5.6775,-5.1,5.6775,1.0,0.25,D01
DD,20E1,-6.15,5.6775,-6.15,5.6775,1.0,0.25,D01
DD,20D1,-7.2,5.6775,-7.2,5.6775,1.0,0.25,D01
DD,20C1,-8.25,5.6775,-8.25,5.6775,1.0,0.25,D01
DD,20B1,-9.3,5.6775,-9.3,5.6775,1.0,0.25,D01
DD,20A1,-10.35,5.6775,-10.35,5.6775,1.0,0.25,D01
DD,21A1,-10.35,5.4275,-10.35,5.4275,1.0,0.25,D01
DD,21B1,-9.3,5.4275,-9.3,5.4275,1.0,0.25,D01
DD,21C1,-8.25,5.4275,-8.25,5.4275,1.0,0.25,D01
DD,21D1,-7.2,5.4275,-7.2,5.4275,1.0,0.25,D01
DD,21E1,-6.15,5.4275,-6.15,5.4275,1.0,0.25,D01
DD,21F1,-5.1,5.4275,-5.1,5.4275,1.0,0.25,D01
DD,21G1,-4.05,5.4275,-4.05,5.4275,1.0,0.25,D01
DD,21H1,-3.0,5.4275,-3.0,5.4275,1.0,0.25,D01
DD,21I1,-1.95,5.4275,-1.95,5.4275,1.0,0.25,D01
DD,21J1,-0.9,5.4275,-0.9,5.4275,1.0,0.25,D01
