ID_PROJECT,a
ID_BATCH,a
ID_WAFER,a
WAFER_ROTATION,a
TILE_WIDTH,10.5
TILE_HEIGHT,10.5
TEST_STRUCTURE,a
LINES_DATA,a
tile_id,die_id,xc_ref[um],yc_ref[um],xc_chip[um],yc_chip[um],width[um],height[um],Array detail
DD,01A,-10.35,10.4275,-10.35,10.4275,0.25,0.25,TS-Pads-85
DD,01A,-10.1,10.4275,-10.1,10.4275,0.25,0.25,TS-Pads-85
DD,01A,-9.85,10.4275,-9.85,10.4275,0.25,0.25,TS-Pads-85
DD,01A,-9.6,10.4275,-9.6,10.4275,0.25,0.25,TS-Pads-85
DD,01B,-9.3,10.4275,-9.3,10.4275,0.25,0.25,TS-Pads-125
DD,01B,-9.05,10.4275,-9.05,10.4275,0.25,0.25,TS-Pads-125
DD,01B,-8.8,10.4275,-8.8,10.4275,0.25,0.25,TS-Pads-125
DD,01B,-8.55,10.4275,-8.55,10.4275,0.25,0.25,TS-Pads-125
DD,01C,-8.25,10.4275,-8.25,10.4275,0.25,0.25,TS-C1
DD,01C,-8.0,10.4275,-8.0,10.4275,0.25,0.25,TS-C1
DD,01C,-7.75,10.4275,-7.75,10.4275,0.25,0.25,TS-C1
DD,01C,-7.5,10.4275,-7.5,10.4275,0.25,0.25,TS-C1
DD,01D,-7.2,10.4275,-7.2,10.4275,0.25,0.25,TS-C3
DD,01D,-6.95,10.4275,-6.95,10.4275,0.25,0.25,TS-C3
DD,01D,-6.7,10.4275,-6.7,10.4275,0.25,0.25,TS-C3
DD,01D,-6.45,10.4275,-6.45,10.4275,0.25,0.25,TS-C3
DD,01E,-6.15,10.4275,-6.15,10.4275,0.25,0.25,TS-C4
DD,01E,-5.9,10.4275,-5.9,10.4275,0.25,0.25,TS-C4
DD,01E,-5.65,10.4275,-5.65,10.4275,0.25,0.25,TS-C4
DD,01E,-5.4,10.4275,-5.4,10.4275,0.25,0.25,TS-C4
DD,01F,-5.1,10.4275,-5.1,10.4275,0.25,0.25,TS-RFN
DD,01F,-4.85,10.4275,-4.85,10.4275,0.25,0.25,TS-RFN
DD,01F,-4.6,10.4275,-4.6,10.4275,0.25,0.25,TS-RFN
DD,01F,-4.35,10.4275,-4.35,10.4275,0.25,0.25,TS-RFN
DD,02F,-4.35,10.1775,-4.35,10.1775,0.25,0.25,TS-RFR
DD,02F,-4.6,10.1775,-4.6,10.1775,0.25,0.25,TS-RFR
DD,02F,-4.85,10.1775,-4.85,10.1775,0.25,0.25,TS-RFR
DD,02F,-5.1,10.1775,-5.1,10.1775,0.25,0.25,TS-RFR
DD,02E,-5.4,10.1775,-5.4,10.1775,0.25,0.25,TS-RF
DD,02E,-5.65,10.1775,-5.65,10.1775,0.25,0.25,TS-RF
DD,02E,-5.9,10.1775,-5.9,10.1775,0.25,0.25,TS-RF
DD,02E,-6.15,10.1775,-6.15,10.1775,0.25,0.25,TS-RF
DD,02D,-6.45,10.1775,-6.45,10.1775,0.25,0.25,TS-L4
DD,02D,-6.7,10.1775,-6.7,10.1775,0.25,0.25,TS-L4
DD,02D,-6.95,10.1775,-6.95,10.1775,0.25,0.25,TS-L4
DD,02D,-7.2,10.1775,-7.2,10.1775,0.25,0.25,TS-L4
DD,02C,-7.5,10.1775,-7.5,10.1775,0.25,0.25,TS-L3
DD,02C,-7.75,10.1775,-7.75,10.1775,0.25,0.25,TS-L3
DD,02C,-8.0,10.1775,-8.0,10.1775,0.25,0.25,TS-L3
DD,02C,-8.25,10.1775,-8.25,10.1775,0.25,0.25,TS-L3
DD,02B,-8.55,10.1775,-8.55,10.1775,0.25,0.25,TS-L2
DD,02B,-8.8,10.1775,-8.8,10.1775,0.25,0.25,TS-L2
DD,02B,-9.05,10.1775,-9.05,10.1775,0.25,0.25,TS-L2
DD,02B,-9.3,10.1775,-9.3,10.1775,0.25,0.25,TS-L2
DD,02A,-9.6,10.1775,-9.6,10.1775,0.25,0.25,TS-L1
DD,02A,-9.85,10.1775,-9.85,10.1775,0.25,0.25,TS-L1
DD,02A,-10.1,10.1775,-10.1,10.1775,0.25,0.25,TS-L1
DD,02A,-10.35,10.1775,-10.35,10.1775,0.25,0.25,TS-L1
DD,03A,-10.35,9.9275,-10.35,9.9275,0.25,0.25,
DD,03A,-10.1,9.9275,-10.1,9.9275,0.25,0.25,
DD,03A,-9.85,9.9275,-9.85,9.9275,0.25,0.25,
DD,03A,-9.6,9.9275,-9.6,9.9275,0.25,0.25,
DD,03B,-9.3,9.9275,-9.3,9.9275,0.25,0.25,
DD,03B,-9.05,9.9275,-9.05,9.9275,0.25,0.25,
DD,03B,-8.8,9.9275,-8.8,9.9275,0.25,0.25,
DD,03B,-8.55,9.9275,-8.55,9.9275,0.25,0.25,
DD,03C,-8.25,9.9275,-8.25,9.9275,0.25,0.25,#12
DD,03C,-8.0,9.9275,-8.0,9.9275,0.25,0.25,#12
DD,03C,-7.75,9.9275,-7.75,9.9275,0.25,0.25,#12
DD,03C,-7.5,9.9275,-7.5,9.9275,0.25,0.25,#12
DD,03D,-7.2,9.9275,-7.2,9.9275,0.25,0.25,#12
DD,03D,-6.95,9.9275,-6.95,9.9275,0.25,0.25,#12
DD,03D,-6.7,9.9275,-6.7,9.9275,0.25,0.25,#12
DD,03D,-6.45,9.9275,-6.45,9.9275,0.25,0.25,#12
DD,03E,-6.15,9.9275,-6.15,9.9275,0.25,0.25,TS-GroupD [D1 D2 D3 D4]
DD,03E,-5.9,9.9275,-5.9,9.9275,0.25,0.25,TS-GroupD [D1 D2 D3 D4]
DD,03E,-5.65,9.9275,-5.65,9.9275,0.25,0.25,TS-GroupD [D1 D2 D3 D4]
DD,03E,-5.4,9.9275,-5.4,9.9275,0.25,0.25,TS-GroupD [D1 D2 D3 D4]
DD,03F,-5.1,9.9275,-5.1,9.9275,0.25,0.25,TS-GroupD [D1 D2 D3 D4]
DD,03F,-4.85,9.9275,-4.85,9.9275,0.25,0.25,TS-GroupD [D1 D2 D3 D4]
DD,03F,-4.6,9.9275,-4.6,9.9275,0.25,0.25,TS-GroupD [D1 D2 D3 D4]
DD,03F,-4.35,9.9275,-4.35,9.9275,0.25,0.25,TS-GroupD [D1 D2 D3 D4]
DD,03G,-4.05,9.9275,-4.05,9.9275,0.25,0.25,TS-GroupR [R1 R2 R3 R4]
DD,03G,-3.8,9.9275,-3.8,9.9275,0.25,0.25,TS-GroupR [R1 R2 R3 R4]
DD,03G,-3.55,9.9275,-3.55,9.9275,0.25,0.25,TS-GroupR [R1 R2 R3 R4]
DD,03G,-3.3,9.9275,-3.3,9.9275,0.25,0.25,TS-GroupR [R1 R2 R3 R4]
DD,03H,-3.0,9.9275,-3.0,9.9275,0.25,0.25,TS-GroupR [R1 R2 R3 R4]
DD,03H,-2.75,9.9275,-2.75,9.9275,0.25,0.25,TS-GroupR [R1 R2 R3 R4]
DD,03H,-2.5,9.9275,-2.5,9.9275,0.25,0.25,TS-GroupR [R1 R2 R3 R4]
DD,03H,-2.25,9.9275,-2.25,9.9275,0.25,0.25,TS-GroupR [R1 R2 R3 R4]
DD,03I,-1.95,9.9275,-1.95,9.9275,0.25,0.25,TS-GroupM [M1 M2 M3 M4]
DD,03I,-1.7,9.9275,-1.7,9.9275,0.25,0.25,TS-GroupM [M1 M2 M3 M4]
DD,03I,-1.45,9.9275,-1.45,9.9275,0.25,0.25,TS-GroupM [M1 M2 M3 M4]
DD,03I,-1.2,9.9275,-1.2,9.9275,0.25,0.25,TS-GroupM [M1 M2 M3 M4]
DD,03J,-0.9,9.9275,-0.9,9.9275,0.25,0.25,TS-GroupM [M1 M2 M3 M4]
DD,03J,-0.65,9.9275,-0.65,9.9275,0.25,0.25,TS-GroupM [M1 M2 M3 M4]
DD,03J,-0.4,9.9275,-0.4,9.9275,0.25,0.25,TS-GroupM [M1 M2 M3 M4]
DD,03J,-0.15,9.9275,-0.15,9.9275,0.25,0.25,TS-GroupM [M1 M2 M3 M4]
DD,04J,-0.15,9.6775,-0.15,9.6775,0.25,0.25,TS-GroupM [M5 M6 M7 M8]
DD,04J,-0.4,9.6775,-0.4,9.6775,0.25,0.25,TS-GroupM [M5 M6 M7 M8]
DD,04J,-0.65,9.6775,-0.65,9.6775,0.25,0.25,TS-GroupM [M5 M6 M7 M8]
DD,04J,-0.9,9.6775,-0.9,9.6775,0.25,0.25,TS-GroupM [M5 M6 M7 M8]
DD,04I,-1.2,9.6775,-1.2,9.6775,0.25,0.25,TS-GroupM [M5 M6 M7 M8]
DD,04I,-1.45,9.6775,-1.45,9.6775,0.25,0.25,TS-GroupM [M5 M6 M7 M8]
DD,04I,-1.7,9.6775,-1.7,9.6775,0.25,0.25,TS-GroupM [M5 M6 M7 M8]
DD,04I,-1.95,9.6775,-1.95,9.6775,0.25,0.25,TS-GroupM [M5 M6 M7 M8]
DD,04H,-2.25,9.6775,-2.25,9.6775,0.25,0.25,TS-GroupR [R5 R6 R7 R8]
DD,04H,-2.5,9.6775,-2.5,9.6775,0.25,0.25,TS-GroupR [R5 R6 R7 R8]
DD,04H,-2.75,9.6775,-2.75,9.6775,0.25,0.25,TS-GroupR [R5 R6 R7 R8]
DD,04H,-3.0,9.6775,-3.0,9.6775,0.25,0.25,TS-GroupR [R5 R6 R7 R8]
DD,04G,-3.3,9.6775,-3.3,9.6775,0.25,0.25,TS-GroupR [R5 R6 R7 R8]
DD,04G,-3.55,9.6775,-3.55,9.6775,0.25,0.25,TS-GroupR [R5 R6 R7 R8]
DD,04G,-3.8,9.6775,-3.8,9.6775,0.25,0.25,TS-GroupR [R5 R6 R7 R8]
DD,04G,-4.05,9.6775,-4.05,9.6775,0.25,0.25,TS-GroupR [R5 R6 R7 R8]
DD,04F,-4.35,9.6775,-4.35,9.6775,0.25,0.25,TS-GroupD [D5 D6 D7 D8]
DD,04F,-4.6,9.6775,-4.6,9.6775,0.25,0.25,TS-GroupD [D5 D6 D7 D8]
DD,04F,-4.85,9.6775,-4.85,9.6775,0.25,0.25,TS-GroupD [D5 D6 D7 D8]
DD,04F,-5.1,9.6775,-5.1,9.6775,0.25,0.25,TS-GroupD [D5 D6 D7 D8]
DD,04E,-5.4,9.6775,-5.4,9.6775,0.25,0.25,TS-GroupD [D5 D6 D7 D8]
DD,04E,-5.65,9.6775,-5.65,9.6775,0.25,0.25,TS-GroupD [D5 D6 D7 D8]
DD,04E,-5.9,9.6775,-5.9,9.6775,0.25,0.25,TS-GroupD [D5 D6 D7 D8]
DD,04E,-6.15,9.6775,-6.15,9.6775,0.25,0.25,TS-GroupD [D5 D6 D7 D8]
DD,04D,-6.45,9.6775,-6.45,9.6775,0.25,0.25,D01
DD,04D,-6.7,9.6775,-6.7,9.6775,0.25,0.25,D01
DD,04D,-6.95,9.6775,-6.95,9.6775,0.25,0.25,D01
DD,04D,-7.2,9.6775,-7.2,9.6775,0.25,0.25,D01
DD,04C,-7.5,9.6775,-7.5,9.6775,0.25,0.25,D01
DD,04C,-7.75,9.6775,-7.75,9.6775,0.25,0.25,D01
DD,04C,-8.0,9.6775,-8.0,9.6775,0.25,0.25,D01
DD,04C,-8.25,9.6775,-8.25,9.6775,0.25,0.25,D01
DD,04B,-8.55,9.6775,-8.55,9.6775,0.25,0.25,D01
DD,04B,-8.8,9.6775,-8.8,9.6775,0.25,0.25,D01
DD,04B,-9.05,9.6775,-9.05,9.6775,0.25,0.25,D01
DD,04B,-9.3,9.6775,-9.3,9.6775,0.25,0.25,D01
DD,04A,-9.6,9.6775,-9.6,9.6775,0.25,0.25,D01
DD,04A,-9.85,9.6775,-9.85,9.6775,0.25,0.25,D01
DD,04A,-10.1,9.6775,-10.1,9.6775,0.25,0.25,D01
DD,04A,-10.35,9.6775,-10.35,9.6775,0.25,0.25,D01
DD,05A,-10.35,9.4275,-10.35,9.4275,0.25,0.25,D01
DD,05A,-10.1,9.4275,-10.1,9.4275,0.25,0.25,D01
DD,05A,-9.85,9.4275,-9.85,9.4275,0.25,0.25,D01
DD,05A,-9.6,9.4275,-9.6,9.4275,0.25,0.25,D01
DD,05B,-9.3,9.4275,-9.3,9.4275,0.25,0.25,D01
DD,05B,-9.05,9.4275,-9.05,9.4275,0.25,0.25,D01
DD,05B,-8.8,9.4275,-8.8,9.4275,0.25,0.25,D01
DD,05B,-8.55,9.4275,-8.55,9.4275,0.25,0.25,D01
DD,05C,-8.25,9.4275,-8.25,9.4275,0.25,0.25,D01
DD,05C,-8.0,9.4275,-8.0,9.4275,0.25,0.25,D01
DD,05C,-7.75,9.4275,-7.75,9.4275,0.25,0.25,D01
DD,05C,-7.5,9.4275,-7.5,9.4275,0.25,0.25,D01
DD,05D,-7.2,9.4275,-7.2,9.4275,0.25,0.25,D01
DD,05D,-6.95,9.4275,-6.95,9.4275,0.25,0.25,D01
DD,05D,-6.7,9.4275,-6.7,9.4275,0.25,0.25,D01
DD,05D,-6.45,9.4275,-6.45,9.4275,0.25,0.25,D01
DD,05E,-6.15,9.4275,-6.15,9.4275,0.25,0.25,D02
DD,05E,-5.9,9.4275,-5.9,9.4275,0.25,0.25,D02
DD,05E,-5.65,9.4275,-5.65,9.4275,0.25,0.25,D02
DD,05E,-5.4,9.4275,-5.4,9.4275,0.25,0.25,D02
DD,05F,-5.1,9.4275,-5.1,9.4275,0.25,0.25,D02
DD,05F,-4.85,9.4275,-4.85,9.4275,0.25,0.25,D02
DD,05F,-4.6,9.4275,-4.6,9.4275,0.25,0.25,D02
DD,05F,-4.35,9.4275,-4.35,9.4275,0.25,0.25,D02
DD,05G,-4.05,9.4275,-4.05,9.4275,0.25,0.25,D02
DD,05G,-3.8,9.4275,-3.8,9.4275,0.25,0.25,D02
DD,05G,-3.55,9.4275,-3.55,9.4275,0.25,0.25,D02
DD,05G,-3.3,9.4275,-3.3,9.4275,0.25,0.25,D02
DD,05H,-3.0,9.4275,-3.0,9.4275,0.25,0.25,D02
DD,05H,-2.75,9.4275,-2.75,9.4275,0.25,0.25,D02
DD,05H,-2.5,9.4275,-2.5,9.4275,0.25,0.25,D02
DD,05H,-2.25,9.4275,-2.25,9.4275,0.25,0.25,D02
DD,05I,-1.95,9.4275,-1.95,9.4275,0.25,0.25,D02
DD,05I,-1.7,9.4275,-1.7,9.4275,0.25,0.25,D02
DD,05I,-1.45,9.4275,-1.45,9.4275,0.25,0.25,D02
DD,05I,-1.2,9.4275,-1.2,9.4275,0.25,0.25,D02
DD,05J,-0.9,9.4275,-0.9,9.4275,0.25,0.25,D02
DD,05J,-0.65,9.4275,-0.65,9.4275,0.25,0.25,D02
DD,05J,-0.4,9.4275,-0.4,9.4275,0.25,0.25,D02
DD,05J,-0.15,9.4275,-0.15,9.4275,0.25,0.25,D02
DD,06J,-0.15,9.1775,-0.15,9.1775,0.25,0.25,D02
DD,06J,-0.4,9.1775,-0.4,9.1775,0.25,0.25,D02
DD,06J,-0.65,9.1775,-0.65,9.1775,0.25,0.25,D02
DD,06J,-0.9,9.1775,-0.9,9.1775,0.25,0.25,D02
DD,06I,-1.2,9.1775,-1.2,9.1775,0.25,0.25,D02
DD,06I,-1.45,9.1775,-1.45,9.1775,0.25,0.25,D02
DD,06I,-1.7,9.1775,-1.7,9.1775,0.25,0.25,D02
DD,06I,-1.95,9.1775,-1.95,9.1775,0.25,0.25,D02
DD,06H,-2.25,9.1775,-2.25,9.1775,0.25,0.25,D02
DD,06H,-2.5,9.1775,-2.5,9.1775,0.25,0.25,D02
DD,06H,-2.75,9.1775,-2.75,9.1775,0.25,0.25,D02
DD,06H,-3.0,9.1775,-3.0,9.1775,0.25,0.25,D02
DD,06G,-3.3,9.1775,-3.3,9.1775,0.25,0.25,D02
DD,06G,-3.55,9.1775,-3.55,9.1775,0.25,0.25,D02
DD,06G,-3.8,9.1775,-3.8,9.1775,0.25,0.25,D02
DD,06G,-4.05,9.1775,-4.05,9.1775,0.25,0.25,D02
DD,06F,-4.35,9.1775,-4.35,9.1775,0.25,0.25,D02
DD,06F,-4.6,9.1775,-4.6,9.1775,0.25,0.25,D02
DD,06F,-4.85,9.1775,-4.85,9.1775,0.25,0.25,D02
DD,06F,-5.1,9.1775,-5.1,9.1775,0.25,0.25,D02
DD,06E,-5.4,9.1775,-5.4,9.1775,0.25,0.25,D02
DD,06E,-5.65,9.1775,-5.65,9.1775,0.25,0.25,D02
DD,06E,-5.9,9.1775,-5.9,9.1775,0.25,0.25,D02
DD,06E,-6.15,9.1775,-6.15,9.1775,0.25,0.25,D02
DD,06D,-6.45,9.1775,-6.45,9.1775,0.25,0.25,D01
DD,06D,-6.7,9.1775,-6.7,9.1775,0.25,0.25,D01
DD,06D,-6.95,9.1775,-6.95,9.1775,0.25,0.25,D01
DD,06D,-7.2,9.1775,-7.2,9.1775,0.25,0.25,D01
DD,06C,-7.5,9.1775,-7.5,9.1775,0.25,0.25,D01
DD,06C,-7.75,9.1775,-7.75,9.1775,0.25,0.25,D01
DD,06C,-8.0,9.1775,-8.0,9.1775,0.25,0.25,D01
DD,06C,-8.25,9.1775,-8.25,9.1775,0.25,0.25,D01
DD,06B,-8.55,9.1775,-8.55,9.1775,0.25,0.25,D01
DD,06B,-8.8,9.1775,-8.8,9.1775,0.25,0.25,D01
DD,06B,-9.05,9.1775,-9.05,9.1775,0.25,0.25,D01
DD,06B,-9.3,9.1775,-9.3,9.1775,0.25,0.25,D01
DD,06A,-9.6,9.1775,-9.6,9.1775,0.25,0.25,D01
DD,06A,-9.85,9.1775,-9.85,9.1775,0.25,0.25,D01
DD,06A,-10.1,9.1775,-10.1,9.1775,0.25,0.25,D01
DD,06A,-10.35,9.1775,-10.35,9.1775,0.25,0.25,D01
DD,07A,-10.35,8.9275,-10.35,8.9275,0.25,0.25,D01
DD,07A,-10.1,8.9275,-10.1,8.9275,0.25,0.25,D01
DD,07A,-9.85,8.9275,-9.85,8.9275,0.25,0.25,D01
DD,07A,-9.6,8.9275,-9.6,8.9275,0.25,0.25,D01
DD,07B,-9.3,8.9275,-9.3,8.9275,0.25,0.25,D01
DD,07B,-9.05,8.9275,-9.05,8.9275,0.25,0.25,D01
DD,07B,-8.8,8.9275,-8.8,8.9275,0.25,0.25,D01
DD,07B,-8.55,8.9275,-8.55,8.9275,0.25,0.25,D01
DD,07C,-8.25,8.9275,-8.25,8.9275,0.25,0.25,D01
DD,07C,-8.0,8.9275,-8.0,8.9275,0.25,0.25,D01
DD,07C,-7.75,8.9275,-7.75,8.9275,0.25,0.25,D01
DD,07C,-7.5,8.9275,-7.5,8.9275,0.25,0.25,D01
DD,07D,-7.2,8.9275,-7.2,8.9275,0.25,0.25,D01
DD,07D,-6.95,8.9275,-6.95,8.9275,0.25,0.25,D01
DD,07D,-6.7,8.9275,-6.7,8.9275,0.25,0.25,D01
DD,07D,-6.45,8.9275,-6.45,8.9275,0.25,0.25,D01
DD,07E,-6.15,8.9275,-6.15,8.9275,0.25,0.25,D02
DD,07E,-5.9,8.9275,-5.9,8.9275,0.25,0.25,D02
DD,07E,-5.65,8.9275,-5.65,8.9275,0.25,0.25,D02
DD,07E,-5.4,8.9275,-5.4,8.9275,0.25,0.25,D02
DD,07F,-5.1,8.9275,-5.1,8.9275,0.25,0.25,D02
DD,07F,-4.85,8.9275,-4.85,8.9275,0.25,0.25,D02
DD,07F,-4.6,8.9275,-4.6,8.9275,0.25,0.25,D02
DD,07F,-4.35,8.9275,-4.35,8.9275,0.25,0.25,D02
DD,07G,-4.05,8.9275,-4.05,8.9275,0.25,0.25,D02
DD,07G,-3.8,8.9275,-3.8,8.9275,0.25,0.25,D02
DD,07G,-3.55,8.9275,-3.55,8.9275,0.25,0.25,D02
DD,07G,-3.3,8.9275,-3.3,8.9275,0.25,0.25,D02
DD,07H,-3.0,8.9275,-3.0,8.9275,0.25,0.25,D02
DD,07H,-2.75,8.9275,-2.75,8.9275,0.25,0.25,D02
DD,07H,-2.5,8.9275,-2.5,8.9275,0.25,0.25,D02
DD,07H,-2.25,8.9275,-2.25,8.9275,0.25,0.25,D02
DD,07I,-1.95,8.9275,-1.95,8.9275,0.25,0.25,D02
DD,07I,-1.7,8.9275,-1.7,8.9275,0.25,0.25,D02
DD,07I,-1.45,8.9275,-1.45,8.9275,0.25,0.25,D02
DD,07I,-1.2,8.9275,-1.2,8.9275,0.25,0.25,D02
DD,07J,-0.9,8.9275,-0.9,8.9275,0.25,0.25,D02
DD,07J,-0.65,8.9275,-0.65,8.9275,0.25,0.25,D02
DD,07J,-0.4,8.9275,-0.4,8.9275,0.25,0.25,D02
DD,07J,-0.15,8.9275,-0.15,8.9275,0.25,0.25,D02
DD,08J,-0.15,8.6775,-0.15,8.6775,0.25,0.25,D02
DD,08J,-0.4,8.6775,-0.4,8.6775,0.25,0.25,D02
DD,08J,-0.65,8.6775,-0.65,8.6775,0.25,0.25,D02
DD,08J,-0.9,8.6775,-0.9,8.6775,0.25,0.25,D02
DD,08I,-1.2,8.6775,-1.2,8.6775,0.25,0.25,D02
DD,08I,-1.45,8.6775,-1.45,8.6775,0.25,0.25,D02
DD,08I,-1.7,8.6775,-1.7,8.6775,0.25,0.25,D02
DD,08I,-1.95,8.6775,-1.95,8.6775,0.25,0.25,D02
DD,08H,-2.25,8.6775,-2.25,8.6775,0.25,0.25,D02
DD,08H,-2.5,8.6775,-2.5,8.6775,0.25,0.25,D02
DD,08H,-2.75,8.6775,-2.75,8.6775,0.25,0.25,D02
DD,08H,-3.0,8.6775,-3.0,8.6775,0.25,0.25,D02
DD,08G,-3.3,8.6775,-3.3,8.6775,0.25,0.25,D02
DD,08G,-3.55,8.6775,-3.55,8.6775,0.25,0.25,D02
DD,08G,-3.8,8.6775,-3.8,8.6775,0.25,0.25,D02
DD,08G,-4.05,8.6775,-4.05,8.6775,0.25,0.25,D02
DD,08F,-4.35,8.6775,-4.35,8.6775,0.25,0.25,D02
DD,08F,-4.6,8.6775,-4.6,8.6775,0.25,0.25,D02
DD,08F,-4.85,8.6775,-4.85,8.6775,0.25,0.25,D02
DD,08F,-5.1,8.6775,-5.1,8.6775,0.25,0.25,D02
DD,08E,-5.4,8.6775,-5.4,8.6775,0.25,0.25,D02
DD,08E,-5.65,8.6775,-5.65,8.6775,0.25,0.25,D02
DD,08E,-5.9,8.6775,-5.9,8.6775,0.25,0.25,D02
DD,08E,-6.15,8.6775,-6.15,8.6775,0.25,0.25,D02
DD,08D,-6.45,8.6775,-6.45,8.6775,0.25,0.25,D01
DD,08D,-6.7,8.6775,-6.7,8.6775,0.25,0.25,D01
DD,08D,-6.95,8.6775,-6.95,8.6775,0.25,0.25,D01
DD,08D,-7.2,8.6775,-7.2,8.6775,0.25,0.25,D01
DD,08C,-7.5,8.6775,-7.5,8.6775,0.25,0.25,D01
DD,08C,-7.75,8.6775,-7.75,8.6775,0.25,0.25,D01
DD,08C,-8.0,8.6775,-8.0,8.6775,0.25,0.25,D01
DD,08C,-8.25,8.6775,-8.25,8.6775,0.25,0.25,D01
DD,08B,-8.55,8.6775,-8.55,8.6775,0.25,0.25,D01
DD,08B,-8.8,8.6775,-8.8,8.6775,0.25,0.25,D01
DD,08B,-9.05,8.6775,-9.05,8.6775,0.25,0.25,D01
DD,08B,-9.3,8.6775,-9.3,8.6775,0.25,0.25,D01
DD,08A,-9.6,8.6775,-9.6,8.6775,0.25,0.25,D01
DD,08A,-9.85,8.6775,-9.85,8.6775,0.25,0.25,D01
DD,08A,-10.1,8.6775,-10.1,8.6775,0.25,0.25,D01
DD,08A,-10.35,8.6775,-10.35,8.6775,0.25,0.25,D01
DD,09A,-10.35,8.4275,-10.35,8.4275,0.25,0.25,D01
DD,09A,-10.1,8.4275,-10.1,8.4275,0.25,0.25,D01
DD,09A,-9.85,8.4275,-9.85,8.4275,0.25,0.25,D01
DD,09A,-9.6,8.4275,-9.6,8.4275,0.25,0.25,D01
DD,09B,-9.3,8.4275,-9.3,8.4275,0.25,0.25,D01
DD,09B,-9.05,8.4275,-9.05,8.4275,0.25,0.25,D01
DD,09B,-8.8,8.4275,-8.8,8.4275,0.25,0.25,D01
DD,09B,-8.55,8.4275,-8.55,8.4275,0.25,0.25,D01
DD,09C,-8.25,8.4275,-8.25,8.4275,0.25,0.25,D01
DD,09C,-8.0,8.4275,-8.0,8.4275,0.25,0.25,D01
DD,09C,-7.75,8.4275,-7.75,8.4275,0.25,0.25,D01
DD,09C,-7.5,8.4275,-7.5,8.4275,0.25,0.25,D01
DD,09D,-7.2,8.4275,-7.2,8.4275,0.25,0.25,D01
DD,09D,-6.95,8.4275,-6.95,8.4275,0.25,0.25,D01
DD,09D,-6.7,8.4275,-6.7,8.4275,0.25,0.25,D01
DD,09D,-6.45,8.4275,-6.45,8.4275,0.25,0.25,D01
DD,09E,-6.15,8.4275,-6.15,8.4275,0.25,0.25,D02
DD,09E,-5.9,8.4275,-5.9,8.4275,0.25,0.25,D02
DD,09E,-5.65,8.4275,-5.65,8.4275,0.25,0.25,D02
DD,09E,-5.4,8.4275,-5.4,8.4275,0.25,0.25,D02
DD,09F,-5.1,8.4275,-5.1,8.4275,0.25,0.25,D02
DD,09F,-4.85,8.4275,-4.85,8.4275,0.25,0.25,D02
DD,09F,-4.6,8.4275,-4.6,8.4275,0.25,0.25,D02
DD,09F,-4.35,8.4275,-4.35,8.4275,0.25,0.25,D02
DD,09G,-4.05,8.4275,-4.05,8.4275,0.25,0.25,D02
DD,09G,-3.8,8.4275,-3.8,8.4275,0.25,0.25,D02
DD,09G,-3.55,8.4275,-3.55,8.4275,0.25,0.25,D02
DD,09G,-3.3,8.4275,-3.3,8.4275,0.25,0.25,D02
DD,09H,-3.0,8.4275,-3.0,8.4275,0.25,0.25,D02
DD,09H,-2.75,8.4275,-2.75,8.4275,0.25,0.25,D02
